,0,1,2,3,4,5,6,7,8,9,10
gamma,0.0077,0.01,0.0123,0.0146,0.0169,0.019200000000000002,0.0215,0.0238,0.026099999999999998,0.0284,0.030699999999999998
cdar,0.007692507694168504,0.010000000000000066,0.012300000000000018,0.014600000000000222,0.016900000000000227,0.019200000000000182,0.021500000000000206,0.023800000000000206,0.02610000000000022,0.028400000000000196,0.030700000000000185
avg_dd,0.007692507694168504,0.010000000000000066,0.012300000000000018,0.014600000000000222,0.016900000000000227,0.019200000000000182,0.021500000000000206,0.023800000000000206,0.02610000000000022,0.028400000000000196,0.030700000000000185
ObjVal,0.37425978333760546,0.39585138319436874,0.40970222722533406,0.41915285075798303,0.42518540288712275,0.4311163204537018,0.4368255129512695,0.442098568508108,0.4471129324651887,0.45179930190070966,0.45628915688514987
Reward/Risk (CDaR),48.652506856941116,39.58513831943661,33.309124164661256,28.709099366984702,25.15889957911935,22.45397502363009,20.317465718663502,18.57557010538253,17.130763695984097,15.908426123264315,14.862838986486876
Reward/Risk (AvDD),48.652506856941116,39.58513831943661,33.309124164661256,28.709099366984702,25.15889957911935,22.45397502363009,20.317465718663502,18.57557010538253,17.130763695984097,15.908426123264315,14.862838986486876
z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_dd,0.08768730658035095,0.10289404313677686,0.10970243581333844,0.11570837036583315,0.12843322049253725,0.14163732200360613,0.15501342168452453,0.16954858861688793,0.1834580842976108,0.19798397200578283,0.20961103275996884
GOOGL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NWS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
META,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMCSA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LYV,0.001,0.012352741220077755,0.0179416457775749,0.024410575776711574,0.053652880583992146,0.08971976813160731,0.13068361741215434,0.1803671064286832,0.19526691753550646,0.22790462556156488,0.2444616809002419
DIS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TJX,0.10508011916333196,0.013564020697921543,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BKNG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LOW,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COST,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MNST,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
KMI,0.14068116798609617,0.25894252196555323,0.30641884259336144,0.296399096211978,0.285021591840158,0.280412925204882,0.27784468229502135,0.2784617225580104,0.2646017338938987,0.26358331876342944,0.24927096418267292
JPM,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AJG,0.14324986353147712,0.1995747008827299,0.17588856825270296,0.14010945890338725,0.11957020187206088,0.08385275855242862,0.055530611842807664,0.056697369779925524,0.0531625935689092,0.06984860940584184,0.05099861926076577
GS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
V,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BSX,0.12577770650435843,0.10137008691520606,0.03598733393055867,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SYK,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ISRG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TMO,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CTAS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
GE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ORCL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MSFT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AAPL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AVGO,0.04872808954173105,0.08389863082259823,0.14335840596652374,0.19474074615936487,0.21725166291020273,0.23188640554428722,0.24351918151486873,0.2521676209420121,0.2784569482543224,0.2942601841169638,0.31443182763378874
APH,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ACN,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MSI,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CSCO,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PANW,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NVDA,0.00911811276233012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
INTU,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LIN,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
VICI,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AES,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
EWJ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
EWY,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
FXI,0.08782383429650688,0.09531482488993757,0.08962805797914108,0.09739196438874347,0.09026371513633984,0.09619280729982525,0.09790880160878603,0.07883520850145621,0.060424268248389666,0.02780064420847899,0.02587691125643186
FEZ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
GLD,0.2985411062141683,0.19398247260597568,0.18877714550013724,0.2039481585598148,0.19123994765724636,0.17493533526696958,0.1515131053263619,0.11047097178991246,0.10508753849897373,0.07360261794372117,0.07195999676609874
GSG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SLV,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TLT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SHY,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BIL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
